KOI,KOIpl,kepoi_name,Sep,Teff1,Teff2,Rstar1,Rstar2,Mstar1_est,Mstar2_est,Rppri,Rpsec,koi_period,koi_dor,koi_duration,koi_impact,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec,usable
1681,1681.04,K01681.04,0.15,3695,3660,0.43,0.41882,0.34820545,0.3369258,14.84,15.29,21.9139549,13.18,3.271,1.2,0.06405307263334242,0.09622540501822308,4.379557,4.58619,0.5168608118280645,0.4831391881719354,True
1700,1700.01,K01700.01,0.28,5472,4749,0.837,0.705591,0.80058384,0.6466828,1.9,2.71,8.03753796,12.7,2.9118,0.821,0.42599093036675073,0.6037666729607492,1.3653075,1.8409084,0.765955446046658,0.23404455395334203,True
1717,1717.01,,0.87,5900,4990,0.972,0.74552405,0.96512336,0.6927509,2.45,3.74,,,,,,,1.0509547,1.67183,,,False
1731,1731.01,,0.24,4917,4724,0.728,0.690872,0.6724565,0.62986434,2.83,3.18,,,,,,,1.7428905,1.9100916,,,False
1731,1731.02,,0.24,4917,4724,0.728,0.690872,0.6724565,0.62986434,1.51,1.7,,,,,,,1.7428905,1.9100916,,,False
1792,1792.01,K01792.01,0.51,6594,4805,1.384,0.700304,1.5011362,0.64063144,6.28,13.03,88.40678718,48.9,12.3079,0.535,0.20099748593600744,0.21826107368511236,0.5662548,1.8652991,0.9999435598435397,5.6440156460346396e-05,True
1792,1792.02,K01792.02,0.51,6594,4805,1.384,0.700304,1.5011362,0.64063144,1.06,2.18,1.546222068,1.48,7.998,0.503,0.018216992332713847,0.015176724017727143,0.5662548,1.8652991,0.8256293416362264,0.17437065836377355,True
1792,1792.03,K01792.03,0.51,6594,4805,1.384,0.700304,1.5011362,0.64063144,1.81,3.76,9.10969334,8.76,5.3181,0.761,0.10882785452529165,0.1304443461775756,0.5662548,1.8652991,0.9999929947595533,7.0052404467048795e-06,True
1816,1816.01,K01816.01,0.17,5180,3741,0.782,0.45512402,0.7353743,0.3738197,4.93,13.08,10.240611361,57.3,0.9617,0.786,24.101682475825978,31.420517992045383,1.5377586,3.9652712,0.4868638080326831,0.513136191967317,True
1830,1830.01,K01830.01,0.46,5235,3945,0.779,0.52738297,0.73184955,0.4494254,2.26,5.15,13.22714056,31.53,3.2861,0.013,2.406995281501985,0.38933320442943625,1.5481372,3.0639334,0.23149107950203046,0.7685089204979695,True
1830,1830.02,K01830.02,0.46,5235,3945,0.779,0.52738297,0.73184955,0.4494254,3.63,8.21,198.7106251,182.85,8.638,0.026,2.080070136584105,0.26278162513039555,1.5481372,3.0639334,0.6402485064787308,0.3597514935212693,True
1833,1833.01,K01833.01,0.02,4546,3475,0.627,0.29218197,0.557936,0.21481606,2.23,3.53,3.69298623,10.77,1.7744,0.775,1.2306285811176105,1.8168054261624893,2.263507,8.61205,0.9951589669252335,0.00484103307476646,True
1833,1833.02,K01833.02,0.02,4546,3475,0.627,0.29218197,0.557936,0.21481606,3.33,5.24,7.68433346,17.43,1.4346,0.951,1.2048001693256074,1.7833530905680246,2.263507,8.61205,0.9958784981642669,0.004121501835733081,True
1833,1833.03,K01833.03,0.02,4546,3475,0.627,0.29218197,0.557936,0.21481606,1.93,3.07,5.70940795,18.74,1.622,0.751,2.712450820884714,3.6909015972550803,2.263507,8.61205,0.7559721777988164,0.24402782220118352,True
1835,1835.01,K01835.01,0.05,5158,5127,0.772,0.765824,0.7236385,0.7164093,1.36,1.39,4.580346161,15.71,2.097,0.384,2.482945670081936,2.560389551580354,1.5727863,1.5950499,0.4992395502657831,0.5007604497342169,True
1835,1835.02,K01835.02,0.05,5158,5127,0.772,0.765824,0.7236385,0.7164093,1.23,1.26,2.248288213,8.578,2.0361,0.004,1.6776038820854204,0.159585540660026,1.5727863,1.5950499,0.4933712460553202,0.5066287539446799,True
1835,1835.03,K01835.03,0.05,5158,5127,0.772,0.765824,0.7236385,0.7164093,1.29,1.31,6.76690759,23.7,1.7062,0.648,3.9057083533315375,4.152905084555052,1.5727863,1.5950499,0.4992495783519536,0.5007504216480465,True
1839,1839.01,K01839.01,0.11,5487,3951,0.815,0.5216,0.77436733,0.44327372,3.98,10.13,9.59068586,20.31,3.452,0.359,1.2236739145077309,0.9941220871185407,1.430455,3.1236272,0.8136182316022424,0.18638176839775758,True
1839,1839.02,K01839.02,0.11,5487,3951,0.815,0.5216,0.77436733,0.44327372,4.99,12.72,80.4103783,82.7,3.487,0.913,1.1752427535105268,1.7308895692573418,1.430455,3.1236272,0.6409729310300046,0.35902706896999537,True
