KOI,KOIpl,kepoi_name,Sep,dmi,e_dmi,dmK,e_dmK,Teff1,E_Teff1,e_Teff1,Rstar1,E_Rstar1,e_Rstar1,Teff2,E_Teff2,e_Teff2,Rstar2,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Mstar1_est,Mstar2_est,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec
1261,1261.02,K01261.02,1.81,1.58,0.05,,,6335,52,55,1.159,0.026,0.026,5223,71,75,0.735965,0.635,0.009,0.008,1.2025533,0.6816657,3.36,0.55,0.54,5.16,0.85,0.85,15.19423359,8.343e-05,-8.343e-05,17.65,8.7,-8.7,3.106,0.125,-0.125,0.906,0.054,-0.611,367.8,22.5,-22.5,0.3199718671610201,0.4731595316092139,0.7724208,1.7100152,0.9480362684011104,0.0519637315988897
1298,1298.01,K01298.01,0.73,,,2.77,0.02,4347,37,37,0.624,0.009,0.009,3325,15,14,0.254592,0.408,0.004,0.004,0.55460113,0.18084477,2.13,0.14,0.14,5.37,0.36,0.38,11.00817635,1.701e-05,-1.701e-05,43.185,0.782,-0.782,2.013,0.0436,-0.0436,0.025,0.408,-0.025,1462.5,40.0,-40.0,8.929009379726887,0.4850632396628291,2.282585,10.959019,1.2392445014868074e-27,1.0
1298,1298.02,K01298.02,0.73,,,2.77,0.02,4347,37,37,0.624,0.009,0.009,3325,15,14,0.254592,0.408,0.004,0.004,0.55460113,0.18084477,1.85,0.12,0.12,4.66,0.3,0.3,92.7495777,0.0006942,-0.0006942,132.45,5.8,-5.8,5.506,0.191,-0.191,0.019,0.422,-0.019,1105.1,65.1,-65.1,3.6288354047939766,0.4767212989310321,2.282585,10.959019,0.9985578945225464,0.0014421054774535
1300,1300.01,K01300.01,0.75,,,1.17,0.01,4952,57,56,0.697,0.014,0.014,3931,31,37,0.51090103,0.733,0.006,0.006,0.6368556,0.43193758,1.69,0.17,0.18,3.41,0.35,0.37,0.63133171,3.41e-07,-3.41e-07,3.13,1.5,-1.5,1.1487,0.0186,-0.0186,0.726,0.002,-0.519,434.5,6.0,-6.0,1.0336013553160053,1.4860083383137457,1.8807999,3.2389977,0.6980587031081814,0.3019412968918186
1359,1359.01,K01359.01,1.41,,,2.2,0.05,5824,56,54,0.943,0.018,0.017,3824,29,30,0.48753104,0.517,0.007,0.006,0.9292651,0.40738294,3.08,0.85,0.84,9.96,2.75,2.75,37.1011418,0.0001187,-0.0001187,48.5,18.6,-18.6,5.5556,0.0788,-0.0788,0.41,0.473,-0.225,1357.5,27.4,-27.4,1.1134889948341078,1.2810863074586232,1.1081653,3.5155723,0.8180470929419034,0.1819529070580965
1359,1359.02,K01359.02,1.41,,,2.2,0.05,5824,56,54,0.943,0.018,0.017,3824,29,30,0.48753104,0.517,0.007,0.006,0.9292651,0.40738294,6.36,1.75,1.8,20.61,5.62,5.8,104.8205868,0.0002329,-0.0002329,98.1,11.4,-11.4,4.4794,0.0878,-0.0878,0.918,0.006,-0.01,3920.1,75.6,-75.6,1.1543808480389808,0.4024446993163419,1.1081653,3.5155723,0.998219722370006,0.001780277629994
1361,1361.01,K01361.01,0.48,,,2.87,0.01,6203,305,1904,0.939,0.294,0.25,3407,1799,50,0.307053,0.327,0.066,0.008,0.92434055,0.22856866,3.17,0.99,0.94,6.28,2.49,2.44,59.8780258,0.0001502,-0.0001502,98.43,2.1,-2.1,4.8027,0.0705,-0.0705,0.004,0.411,-0.004,1419.1,32.3,-32.3,3.573409380940336,0.228715626332664,1.1164396,7.895446,2.984470649356944e-14,0.99999999999997
1422,1422.01,K01422.01,0.22,,,1.14,0.04,3665,21,19,0.414,0.012,0.013,3371,21,20,0.276138,0.667,0.007,0.007,0.3320859,0.20017403,1.69,0.29,0.3,2.38,0.43,0.44,5.841636615,9.841e-06,-9.841e-06,24.61,1.7,-1.7,1.8734,0.0467,-0.0467,0.026,0.405,-0.026,1336.3,37.0,-37.0,5.868147608206203,1.2160728485108343,4.6800385,9.506686,0.8215188338408212,0.1784811661591787
1422,1422.02,K01422.02,0.22,,,1.14,0.04,3665,21,19,0.414,0.012,0.013,3371,21,20,0.276138,0.667,0.007,0.007,0.3320859,0.20017403,1.87,0.32,0.33,2.62,0.47,0.48,19.85029495,5.525e-05,-5.525e-05,54.1,6.1,-6.1,2.8407,0.0741,-0.0741,0.217,0.245,-0.217,1607.5,50.7,-50.7,5.3987489289485415,1.826194184838416,4.6800385,9.506686,0.8182027263256391,0.1817972736743608
1422,1422.03,K01422.03,0.22,,,1.14,0.04,3665,21,19,0.414,0.012,0.013,3371,21,20,0.276138,0.667,0.007,0.007,0.3320859,0.20017403,1.39,0.26,0.25,1.96,0.34,0.36,10.8644095,4.884e-05,-4.884e-05,30.8,13.0,-13.0,1.853,0.119,-0.119,0.763,0.015,-0.551,748.7,51.4,-51.4,3.32563942671434,4.2110369364240015,4.6800385,9.506686,0.7142469427582359,0.2857530572417641
